---,Global_Global Time Speed,Global_Global Desaturation Intensity,Global Global Overlay Color,Global TimeFloat Input,------------------------------------------------------------------------------------------------------------,Background Zenith Area Falloff Intensity,Background Background Overlay color,Background Background Horizon Color,Background SkyDome Color,----------------------------------------------------------------------------------------------------------,Clouds All Clouds Overlay color,Clouds All Clouds Falloff Intensity,Clouds Main Cloud Intensity,Clouds Main Falloff Intensity,Clouds Second Falloff Intensity,Clouds Second Cloud Intensity,Clouds Third Clouds Intensity,Clouds Detail Clouds Color,Clouds Detail Clouds Intensity,-----------------------------------------------------------------------------------------------------------,Sun_UseSun,Sun_Sun Self Radius,Sun_Sun Self Brightness Intensity,Sun_Sun Self color,Sun_Sun Glow Color,Sun_Sun Glow Brightness Intensity,Sun_Sun Glow Area Smooth,Sun_Sun Glow Radius,Sun_Use Sun Back Light,Sun_Back Lit Brightness Color,Sun_Back Lit Darkness Color,Sun_Back Lit Effect Radius,Sun_Back Lit Effect Radius Hardness,Sun_Back Lit Zenith Area Falloff Intensity,--------------------------------------------------------------------------------------------------------------,Moon_UseMoon,Moon_Moon All Scale Amount,Moon_Moon Overlay Color,Moon_Moon Self Glow,Moon_Moon Self Intensity,Moon_Moon Glow Intensity,Moon_Moon Glow Scale,Moon_Moon Self Scale,-------------------------------------------------------------------------------------------------------------,Star UseStar,Star_Star Overlay Color,Star_Star Brightness Intensity,Star_Star Area Falloff Intensity,Star_Star Falloff Intensity,Star_Star RepeatUV Amount,--------------------------------------------------------------------------------------------------------,Storm_UseLightning,Storm_Lightning Color,Storm_Lightning Intensity,Storm_Lightning Area Falloff Intensity,Storm_Lightning Add Clouds Brightness Intensity,Storm_Lightning Scale,----------------------------------------------------------------------------------------------------------------,Light direction
MidnightStorm,"1.000000","0.000000","(R=0.600000,G=0.600000,B=0.600000,A=1.000000)","0.000000","False","4.600000","(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","(R=0.246843,G=0.245536,B=0.350000,A=1.000000)","(R=0.129290,G=0.112500,B=0.150000,A=1.000000)","False","(R=0.510000,G=0.524339,B=0.600000,A=1.000000)","1.300000","0.800000","1.500000","2.000000","1.000000","0.350000","(R=0.060130,G=0.077889,B=0.100000,A=1.000000)","0.750000","False","0.000000","0.002500","1.000000","(R=20.000000,G=14.056274,B=4.000000,A=1.000000)","(R=1.500000,G=1.246501,B=1.050000,A=1.000000)","1.000000","-3.500000","0.300000","1.000000","(R=3.000000,G=1.828091,B=0.705305,A=1.000000)","(R=0.800000,G=0.581257,B=0.560000,A=1.000000)","0.700000","-2.000000","1.000000","False","0.000000","1.300000","(R=2.000000,G=1.946817,B=1.674573,A=1.000000)","3.000000","1.000000","1.000000","0.450000","0.075000","False","0.000000","(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","1.000000","1.000000","0.000000","3.000000","True","1.000000","(R=0.298039,G=0.368627,B=1.000000,A=1.000000)","10.000000","1.000000","0.250000","2.000000","False","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)"
MidnightStars,"1.000000","0.000000","(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","0.000000","False","6.000000","(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","(R=0.354502,G=0.325000,B=0.500000,A=1.000000)","(R=0.112083,G=0.105000,B=0.150000,A=1.000000)","False","(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","1.000000","0.100000","6.000000","0.800000","0.200000","0.000000","(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","0.000000","False","0.000000","0.002500","1.000000","(R=20.000000,G=14.056274,B=4.000000,A=1.000000)","(R=1.500000,G=1.246501,B=1.050000,A=1.000000)","1.000000","-3.500000","0.300000","1.000000","(R=3.000000,G=1.828091,B=0.705305,A=1.000000)","(R=0.800000,G=0.581257,B=0.560000,A=1.000000)","0.700000","-2.000000","1.000000","False","0.000000","1.300000","(R=2.000000,G=1.946817,B=1.674573,A=1.000000)","3.000000","1.000000","1.000000","0.450000","0.075000","False","1.000000","(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","0.500000","1.000000","0.000000","3.000000","False","0.000000","(R=0.298039,G=0.368627,B=1.000000,A=1.000000)","10.000000","1.000000","0.250000","2.000000","False","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)"
MidnightMoon,"1.000000","0.000000","(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","0.000000","False","5.000000","(R=0.100109,G=0.107268,B=0.140625,A=1.000000)","(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","(R=0.726413,G=0.700000,B=1.000000,A=1.000000)","False","(R=0.400000,G=0.395581,B=0.382322,A=1.000000)","1.080000","0.560000","5.000000","0.700000","0.500000","0.050000","(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","0.000000","False","0.000000","0.002500","1.000000","(R=20.000000,G=14.056274,B=4.000000,A=1.000000)","(R=1.500000,G=1.246501,B=1.050000,A=1.000000)","1.000000","-3.500000","0.300000","1.000000","(R=3.000000,G=1.828091,B=0.705305,A=1.000000)","(R=0.800000,G=0.581257,B=0.560000,A=1.000000)","0.700000","-2.000000","1.000000","False","1.000000","1.000000","(R=1.500000,G=1.113179,B=0.900000,A=1.000000)","3.000000","1.000000","1.000000","0.600000","0.075000","False","0.000000","(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","1.000000","1.000000","0.000000","3.000000","False","0.000000","(R=0.298039,G=0.368627,B=1.000000,A=1.000000)","10.000000","1.000000","0.250000","2.000000","False","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)"
MidnightBloodMoon,"1.000000","0.000000","(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","0.000000","False","2.000000","(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","(R=1.000000,G=0.196597,B=0.150000,A=1.000000)","(R=0.450000,G=0.078282,B=0.022500,A=1.000000)","False","(R=0.800000,G=0.360939,B=0.320000,A=1.000000)","1.250000","0.400000","6.000000","1.500000","0.000000","0.050000","(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","0.000000","False","0.000000","0.002500","1.000000","(R=20.000000,G=14.056274,B=4.000000,A=1.000000)","(R=1.500000,G=1.246501,B=1.050000,A=1.000000)","1.000000","-3.500000","0.300000","1.000000","(R=3.000000,G=1.828091,B=0.705305,A=1.000000)","(R=0.800000,G=0.581257,B=0.560000,A=1.000000)","0.700000","-2.000000","1.000000","False","1.000000","1.500000","(R=2.000000,G=0.000000,B=0.152464,A=1.000000)","3.000000","3.000000","10.000000","0.450000","0.075000","False","0.000000","(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","1.000000","1.000000","0.000000","3.000000","False","0.000000","(R=0.298039,G=0.368627,B=1.000000,A=1.000000)","10.000000","1.000000","0.250000","2.000000","False","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)"
NoonClearSky,"1.000000","0.000000","(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","0.000000","False","2.000000","(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","(R=0.590925,G=1.064134,B=1.500000,A=1.000000)","(R=0.371796,G=0.479556,B=1.000000,A=1.000000)","False","(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","1.850000","0.250000","1.000000","0.000000","0.500000","0.000000","(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","0.000000","False","1.000000","0.002500","5.000000","(R=20.000000,G=14.056274,B=4.000000,A=1.000000)","(R=2.000000,G=1.047483,B=0.066985,A=1.000000)","1.000000","-3.500000","0.500000","1.000000","(R=3.000000,G=1.828091,B=0.705305,A=1.000000)","(R=0.800000,G=0.581257,B=0.560000,A=1.000000)","0.700000","-2.000000","1.000000","False","0.000000","1.300000","(R=2.000000,G=1.946817,B=1.674573,A=1.000000)","3.000000","1.000000","1.000000","0.450000","0.075000","False","0.000000","(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","1.000000","1.000000","0.000000","3.000000","False","0.000000","(R=0.298039,G=0.368627,B=1.000000,A=1.000000)","10.000000","1.000000","0.250000","2.000000","False","(R=0.000000,G=0.000000,B=-1.000000,A=1.000000)"
SunSetInBurn,"1.000000","-0.050000","(R=1.150000,G=0.872420,B=0.805000,A=1.000000)","0.000000","False","6.000000","(R=1.000000,G=0.436193,B=0.416295,A=1.000000)","(R=10.000000,G=1.220106,B=0.500000,A=1.000000)","(R=1.500000,G=0.408484,B=0.649355,A=1.000000)","False","(R=1.000000,G=0.558033,B=0.383302,A=1.000000)","1.000000","0.850000","3.000000","0.800000","0.500000","0.000000","(R=0.750000,G=0.036933,B=0.000000,A=1.000000)","1.130000","False","1.000000","0.002500","600.000000","(R=1.000000,G=0.030305,B=0.000000,A=1.000000)","(R=6.000000,G=0.137484,B=0.000000,A=1.000000)","0.750000","-4.000000","0.600000","1.000000","(R=7.000000,G=4.061845,B=0.607824,A=1.000000)","(R=0.450000,G=0.065682,B=0.257873,A=1.000000)","0.700000","-2.000000","1.000000","False","0.000000","1.300000","(R=2.000000,G=1.946817,B=1.674573,A=1.000000)","3.000000","1.000000","1.000000","0.450000","0.075000","False","0.000000","(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","1.000000","1.000000","0.000000","3.000000","False","0.000000","(R=0.298039,G=0.368627,B=1.000000,A=1.000000)","10.000000","1.000000","0.250000","2.000000","False","(R=-1.000000,G=0.000000,B=-0.361905,A=1.000000)"
SunSetSmoothly,"1.000000","0.000000","(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","0.000000","False","5.000000","(R=1.150000,G=0.699357,B=0.450000,A=1.000000)","(R=3.000000,G=0.769669,B=0.150000,A=1.000000)","(R=1.250000,G=0.875000,B=1.113961,A=1.000000)","False","(R=0.750000,G=0.358739,B=0.253430,A=1.000000)","1.000000","0.850000","1.000000","0.800000","0.500000","0.000000","(R=0.500000,G=0.035000,B=0.190000,A=1.000000)","0.900000","False","1.000000","0.002500","200.000000","(R=1.000000,G=0.160421,B=0.000000,A=1.000000)","(R=3.000000,G=1.187849,B=0.179698,A=1.000000)","2.000000","-3.500000","0.700000","1.000000","(R=3.000000,G=1.828091,B=0.705305,A=1.000000)","(R=0.700000,G=0.213425,B=0.120312,A=1.000000)","0.700000","-2.000000","1.000000","False","0.000000","1.300000","(R=2.000000,G=1.946817,B=1.674573,A=1.000000)","3.000000","1.000000","1.000000","0.450000","0.075000","False","0.000000","(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","1.000000","1.000000","0.000000","3.000000","False","0.000000","(R=0.298039,G=0.368627,B=1.000000,A=1.000000)","10.000000","1.000000","0.250000","2.000000","False","(R=-1.000000,G=0.000000,B=-0.330000,A=1.000000)"
StyleUE4DefaultSky,"1.000000","0.000000","(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","0.000000","False","3.500000","(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","(R=3.436818,G=2.400000,B=4.000000,A=1.000000)","(R=0.500000,G=0.585768,B=1.000000,A=1.000000)","False","(R=0.716636,G=0.829852,B=1.000000,A=1.000000)","1.000000","0.000000","10.000000","1.000000","0.500000","0.000000","(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","0.000000","False","1.000000","0.002500","5.000000","(R=10.000000,G=8.328327,B=5.500000,A=1.000000)","(R=2.000000,G=1.507238,B=1.000000,A=1.000000)","1.000000","-3.500000","0.500000","1.000000","(R=3.000000,G=1.828091,B=0.705305,A=1.000000)","(R=0.800000,G=0.581257,B=0.560000,A=1.000000)","0.700000","-2.000000","1.000000","False","0.000000","1.300000","(R=2.000000,G=1.946817,B=1.674573,A=1.000000)","3.000000","1.000000","1.000000","0.450000","0.075000","False","0.000000","(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","1.000000","1.000000","0.000000","3.000000","False","0.000000","(R=0.298039,G=0.368627,B=1.000000,A=1.000000)","10.000000","1.000000","0.250000","2.000000","False","(R=0.000000,G=0.000000,B=-1.000000,A=1.000000)"
StyleUDKMorningSky,"1.000000","0.150000","(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","0.000000","False","4.000000","(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","(R=0.300000,G=1.624850,B=2.000000,A=1.000000)","(R=0.195000,G=0.563333,B=1.300000,A=1.000000)","False","(R=1.600000,G=1.405546,B=0.822183,A=1.000000)","1.100000","0.450000","1.500000","0.650000","0.500000","0.000000","(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","0.000000","False","1.000000","0.002500","5.000000","(R=15.000000,G=6.027861,B=5.212212,A=1.000000)","(R=8.000000,G=3.166667,B=3.650000,A=1.000000)","1.000000","-3.500000","1.000000","1.000000","(R=0.430128,G=0.661173,B=0.800000,A=1.000000)","(R=10.000000,G=1.500000,B=2.633332,A=1.000000)","0.700000","-2.000000","1.000000","False","0.000000","1.300000","(R=2.000000,G=1.946817,B=1.674573,A=1.000000)","3.000000","1.000000","1.000000","0.450000","0.075000","False","0.000000","(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","1.000000","1.000000","0.000000","3.000000","False","0.000000","(R=0.298039,G=0.368627,B=1.000000,A=1.000000)","10.000000","1.000000","0.250000","2.000000","False","(R=0.500000,G=0.000000,B=-0.700000,A=5.000000)"
StyleUDKNoonSky,"1.000000","0.000000","(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","0.000000","False","6.000000","(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","(R=1.400000,G=1.660564,B=2.000000,A=1.000000)","(R=1.000000,G=0.750001,B=1.100000,A=1.000000)","False","(R=1.834530,G=0.978317,B=2.000000,A=1.000000)","1.150000","1.300000","3.000000","0.800000","0.450000","0.000000","(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","0.000000","False","1.000000","0.002500","10.000000","(R=10.000000,G=5.000000,B=9.278350,A=1.000000)","(R=5.000000,G=2.750000,B=4.478034,A=1.000000)","1.000000","-3.500000","0.300000","0.500000","(R=3.000000,G=1.828091,B=0.705305,A=1.000000)","(R=0.800000,G=0.581257,B=0.560000,A=1.000000)","1.250000","-2.000000","1.000000","False","0.000000","1.300000","(R=2.000000,G=1.946817,B=1.674573,A=1.000000)","3.000000","1.000000","1.000000","0.450000","0.075000","False","0.000000","(R=1.000000,G=1.000000,B=1.000000,A=1.000000)","1.000000","1.000000","0.000000","3.000000","False","0.000000","(R=0.298039,G=0.368627,B=1.000000,A=1.000000)","10.000000","1.000000","0.250000","2.000000","False","(R=0.250000,G=0.000000,B=-0.750000,A=5.000000)"
